id;test_run_id;ts;ts_iso;source;module;metric;value;unit;meta_json
1459;3;1785915182.6909502;2026-08-05T07:33:02.690+00:00;master;uptime;throughput_up;0.6540353121202308;Mbit/s;
1460;3;1785915182.690954;2026-08-05T07:33:02.690+00:00;master;uptime;throughput_down;13.390582020410296;Mbit/s;
1461;3;1785915184.4412737;2026-08-05T07:33:04.441+00:00;master;traffic;stream_rate;5.0560718680972006;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1462;3;1785915189.4759197;2026-08-05T07:33:09.475+00:00;master;traffic;stream_rate;4.998563047075882;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1463;3;1785915192.661689;2026-08-05T07:33:12.661+00:00;master;uptime;router_uptime;1727843.0;s;
1464;3;1785915192.6616955;2026-08-05T07:33:12.661+00:00;master;uptime;wan_uptime;1727794.0;s;
1465;3;1785915192.6617;2026-08-05T07:33:12.661+00:00;master;uptime;sync_down;4294967.0;kbit/s;
1466;3;1785915192.6617048;2026-08-05T07:33:12.661+00:00;master;uptime;sync_up;4294967.0;kbit/s;
1467;3;1785915192.6617084;2026-08-05T07:33:12.661+00:00;master;uptime;hosts;5.0;;
1468;3;1785915192.6617138;2026-08-05T07:33:12.661+00:00;master;uptime;availability;100.0;%;
1469;3;1785915192.661717;2026-08-05T07:33:12.661+00:00;master;uptime;reboots_unplanned;0.0;;
1470;3;1785915192.66172;2026-08-05T07:33:12.661+00:00;master;uptime;wan_reconnects;0.0;;
1471;3;1785915192.6617281;2026-08-05T07:33:12.661+00:00;master;uptime;throughput_up;0.20613508549278609;Mbit/s;
1472;3;1785915192.6617312;2026-08-05T07:33:12.661+00:00;master;uptime;throughput_down;10.410715628924251;Mbit/s;
1473;3;1785915192.8762712;2026-08-05T07:33:12.876+00:00;master;wlan;clients;0.0;;"{""band"":""2.4GHz"",""ssid"":""TestWLAN-2G""}"
1474;3;1785915192.8762832;2026-08-05T07:33:12.876+00:00;master;wlan;clients;2.0;;"{""band"":""5GHz"",""ssid"":""TestWLAN-5G""}"
1475;3;1785915192.8762887;2026-08-05T07:33:12.876+00:00;master;wlan;clients;0.0;;"{""band"":""6GHz"",""ssid"":""FRITZ! Gastzugang""}"
1476;3;1785915192.8763137;2026-08-05T07:33:12.876+00:00;master;wlan;client_rssi;70.0;dBm;"{""mac"":""AA:BB:CC:00:00:01"",""band"":""5GHz""}"
1477;3;1785915192.8763204;2026-08-05T07:33:12.876+00:00;master;wlan;client_link_speed;1921.0;Mbit/s;"{""mac"":""AA:BB:CC:00:00:01"",""band"":""5GHz""}"
1478;3;1785915192.8763254;2026-08-05T07:33:12.876+00:00;master;wlan;client_rssi;70.0;dBm;"{""mac"":""AA:BB:CC:00:00:02"",""band"":""5GHz""}"
1479;3;1785915192.8763294;2026-08-05T07:33:12.876+00:00;master;wlan;client_link_speed;864.0;Mbit/s;"{""mac"":""AA:BB:CC:00:00:02"",""band"":""5GHz""}"
1480;3;1785915193.4468508;2026-08-05T07:33:13.446+00:00;master;wlan;local_rssi;-60.0;dBm;"{""band"":""5GHz"",""ssid"":""TestWLAN-5G"",""approximated"":true}"
1481;3;1785915193.446865;2026-08-05T07:33:13.446+00:00;master;wlan;local_rx_rate;1922.0;Mbit/s;"{""band"":""5GHz""}"
1482;3;1785915194.509138;2026-08-05T07:33:14.509+00:00;master;traffic;stream_rate;4.9999736747538295;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1483;3;1785915194.8356218;2026-08-05T07:33:14.835+00:00;master;ping;dns_resolve;5.162200000086159;ms;"{""hostname"":""www.google.com""}"
1484;3;1785915194.8406672;2026-08-05T07:33:14.840+00:00;master;ping;dns_resolve;5.018400000153633;ms;"{""hostname"":""www.sbb.ch""}"
1485;3;1785915195.3687227;2026-08-05T07:33:15.368+00:00;master;traffic;web_ttfb;88.26589999989665;ms;"{""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1486;3;1785915195.368741;2026-08-05T07:33:15.368+00:00;master;traffic;web_total;92.2193000005791;ms;"{""size_bytes"":67278,""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1487;3;1785915195.3739998;2026-08-05T07:33:15.374+00:00;master;traffic;web_ttfb;96.58020000006218;ms;"{""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1488;3;1785915195.3740156;2026-08-05T07:33:15.374+00:00;master;traffic;web_total;99.29639999973006;ms;"{""size_bytes"":67278,""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1489;3;1785915195.493354;2026-08-05T07:33:15.493+00:00;master;traffic;web_ttfb;115.16650000066875;ms;"{""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1490;3;1785915195.4933717;2026-08-05T07:33:15.493+00:00;master;traffic;web_total;124.5920000001206;ms;"{""size_bytes"":258992,""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1491;3;1785915195.495554;2026-08-05T07:33:15.495+00:00;master;traffic;web_ttfb;112.00900000039837;ms;"{""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1492;3;1785915195.495571;2026-08-05T07:33:15.495+00:00;master;traffic;web_total;121.51670000002923;ms;"{""size_bytes"":258992,""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1493;3;1785915195.524585;2026-08-05T07:33:15.524+00:00;master;traffic;web_ttfb;29.238800000712217;ms;"{""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1494;3;1785915195.5246017;2026-08-05T07:33:15.524+00:00;master;traffic;web_total;31.190000000606233;ms;"{""size_bytes"":43250,""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1495;3;1785915195.5303912;2026-08-05T07:33:15.530+00:00;master;traffic;web_ttfb;32.257900000331574;ms;"{""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1496;3;1785915195.5304105;2026-08-05T07:33:15.530+00:00;master;traffic;web_total;34.77090000069438;ms;"{""size_bytes"":43250,""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1497;3;1785915199.541913;2026-08-05T07:33:19.541+00:00;master;traffic;stream_rate;5.000422930725664;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1498;3;1785915202.7055655;2026-08-05T07:33:22.705+00:00;master;uptime;router_uptime;1727853.0;s;
1499;3;1785915202.7055786;2026-08-05T07:33:22.705+00:00;master;uptime;wan_uptime;1727804.0;s;
1500;3;1785915202.7055845;2026-08-05T07:33:22.705+00:00;master;uptime;sync_down;4294967.0;kbit/s;
1501;3;1785915202.7055988;2026-08-05T07:33:22.705+00:00;master;uptime;sync_up;4294967.0;kbit/s;
1502;3;1785915202.705604;2026-08-05T07:33:22.705+00:00;master;uptime;hosts;5.0;;
1503;3;1785915202.7056117;2026-08-05T07:33:22.705+00:00;master;uptime;availability;100.0;%;
1504;3;1785915202.7056165;2026-08-05T07:33:22.705+00:00;master;uptime;reboots_unplanned;0.0;;
1505;3;1785915202.7056282;2026-08-05T07:33:22.705+00:00;master;uptime;wan_reconnects;0.0;;
1506;3;1785915202.7056413;2026-08-05T07:33:22.705+00:00;master;uptime;throughput_up;0.20787120635222803;Mbit/s;
1507;3;1785915202.7056458;2026-08-05T07:33:22.705+00:00;master;uptime;throughput_down;11.381237678169596;Mbit/s;
1508;3;1785915204.5754445;2026-08-05T07:33:24.575+00:00;master;traffic;stream_rate;4.999672891242588;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1509;3;1785915209.607606;2026-08-05T07:33:29.607+00:00;master;traffic;stream_rate;5.0011435779216615;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1510;3;1785915210.647083;2026-08-05T07:33:30.647+00:00;master;traffic;web_ttfb;113.12900000029913;ms;"{""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1511;3;1785915210.6470997;2026-08-05T07:33:30.647+00:00;master;traffic;web_total;115.62899999989895;ms;"{""size_bytes"":67278,""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1512;3;1785915210.6534302;2026-08-05T07:33:30.653+00:00;master;traffic;web_ttfb;124.05589999980293;ms;"{""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1513;3;1785915210.6534474;2026-08-05T07:33:30.653+00:00;master;traffic;web_total;126.67329999931098;ms;"{""size_bytes"":67278,""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1514;3;1785915210.7692966;2026-08-05T07:33:30.769+00:00;master;traffic;web_ttfb;110.8700000004319;ms;"{""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1515;3;1785915210.7693183;2026-08-05T07:33:30.769+00:00;master;traffic;web_total;122.16730000000098;ms;"{""size_bytes"":259580,""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1516;3;1785915210.7801867;2026-08-05T07:33:30.780+00:00;master;traffic;web_ttfb;121.76480000016454;ms;"{""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1517;3;1785915210.7802036;2026-08-05T07:33:30.780+00:00;master;traffic;web_total;126.71540000064851;ms;"{""size_bytes"":259580,""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1518;3;1785915210.8191278;2026-08-05T07:33:30.819+00:00;master;traffic;web_ttfb;41.901700000380515;ms;"{""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1519;3;1785915210.8191447;2026-08-05T07:33:30.819+00:00;master;traffic;web_total;49.78620000019873;ms;"{""size_bytes"":43250,""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1520;3;1785915210.8226657;2026-08-05T07:33:30.822+00:00;master;traffic;web_ttfb;39.80099999989761;ms;"{""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1521;3;1785915210.8226824;2026-08-05T07:33:30.822+00:00;master;traffic;web_total;42.43950000000041;ms;"{""size_bytes"":43250,""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1522;3;1785915212.707221;2026-08-05T07:33:32.707+00:00;master;uptime;router_uptime;1727863.0;s;
1523;3;1785915212.7072353;2026-08-05T07:33:32.707+00:00;master;uptime;wan_uptime;1727814.0;s;
1524;3;1785915212.7072444;2026-08-05T07:33:32.707+00:00;master;uptime;sync_down;4294967.0;kbit/s;
1525;3;1785915212.7072527;2026-08-05T07:33:32.707+00:00;master;uptime;sync_up;4294967.0;kbit/s;
1526;3;1785915212.7072606;2026-08-05T07:33:32.707+00:00;master;uptime;hosts;5.0;;
1527;3;1785915212.7072735;2026-08-05T07:33:32.707+00:00;master;uptime;availability;100.0;%;
1528;3;1785915212.7072809;2026-08-05T07:33:32.707+00:00;master;uptime;reboots_unplanned;0.0;;
1529;3;1785915212.707287;2026-08-05T07:33:32.707+00:00;master;uptime;wan_reconnects;0.0;;
1530;3;1785915212.707304;2026-08-05T07:33:32.707+00:00;master;uptime;throughput_up;0.29415602304826294;Mbit/s;
1531;3;1785915212.7073128;2026-08-05T07:33:32.707+00:00;master;uptime;throughput_down;16.13463895416888;Mbit/s;
